id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3562967,Catch the Wind - Bed & Breakfast,17938931,Art,Albert,Hopewell,45.77091,-64.65566,Private room,110,1,219,2021-08-31,2.28,2,345,5,
14339974,Studio Touristique Haché,87812966,Marie Ghislaine,Gloucester,Paquetville,47.62782,-65.28653,Entire home/apt,78,1,213,2022-06-23,2.98,2,332,35,
3626331,Suite # 1 Downtown Fredericton NB superhosts,13302046,Victoria,York,Fredericton,45.95794,-66.63522,Entire home/apt,120,1,343,2022-06-23,3.57,5,111,25,
3696064,Pumpkin B&B,18825144,Lynda,Westmorland,Westmorland,46.04963,-64.08476,Private room,120,1,4,2019-08-17,0.11,2,351,0,
14367492,Maple leaf private room,50804209,Juliet,Saint John,City of Saint John,45.24814,-66.10958,Private room,49,1,11,2022-01-20,0.25,2,175,1,
3696105,Pumpkin Inn B&B,18825144,Lynda,Westmorland,Westmorland,46.04932,-64.08544,Private room,128,1,36,2022-05-19,0.43,2,354,10,
14426010,St. Martins - Listen to the Roll'n Sea,88775749,Gary,Saint John,Saint Martins,45.35811,-65.5298,Private room,120,1,93,2021-10-26,1.50,2,85,19,
3697522,The Boathouse on Wegesegum,11880724,Junior,Queens,Chipman,46.15525,-65.89744,Entire home/apt,89,2,121,2022-06-20,1.42,1,251,18,
14523462,Norwood on the Washademoak Bed & Breakfast,49423729,Ines,Queens,Cambridge,45.74398,-66.02666,Private room,105,1,33,2022-06-05,0.47,2,68,4,
3705233,Stargazer Room - An Artist's Garden,18274338,Karin,Albert,Harvey,45.65058,-64.73643,Private room,125,2,77,2022-06-13,0.81,3,320,9,
14527674,Travel Host. Private comfy suite ground floor.,85327049,Harry,Westmorland,Shediac,46.213619,-64.55056,Private room,120,1,83,2022-06-19,1.35,1,302,30,
3756385,L'Ancrage B&B (3x Lits jumeaux),19228862,L'Ancrage,Kent,Saint-Louis,46.74195,-64.98076,Private room,120,1,8,2022-02-13,0.34,4,287,6,
14533154,Water view retreat W/ hot in Downtown Shediac,89874444,Leonard,Westmorland,Shediac,46.22388,-64.54371,Entire home/apt,275,2,29,2022-06-13,0.41,3,230,12,
16892518,Queen Bedroom w/ private ensuite & HOT BREAKFAST!,62451007,Sébastien & Heather,Westmorland,Shediac,46.22099,-64.53424,Private room,999,1,3,2019-03-30,0.05,4,364,0,
16892662,Beautiful Water Front House!,40725689,Scott,Westmorland,Shediac,46.23692,-64.56262,Entire home/apt,400,7,40,2022-04-28,0.66,1,61,12,
14654908,"Warm, Specious room for work or leisure time..",81343310,Kamini,Gloucester,Bathurst,47.61056,-65.68105,Private room,125,1,10,2021-09-05,0.16,4,360,2,
16893860,"Antique-Filled Bedroom - Queen bed, private bath",62451007,Sébastien & Heather,Westmorland,Shediac,46.21954,-64.53559,Private room,999,1,0,,,4,363,0,
14715510,Home Sweet Cottage - Néguac,80574800,Natalie,Northumberland,Alnwick,47.26527,-65.04578,Entire home/apt,95,1,91,2022-06-14,2.55,1,114,61,
16894685,"2-Bedroom Combo, private bath - Downtown Shediac",62451007,Sébastien & Heather,Westmorland,Shediac,46.22105,-64.5347,Private room,999,1,33,2018-07-28,0.53,4,364,0,
